tweets,post_release,days_post_release
172,0,-365
101,0,-364
193,0,-363
176,0,-362
204,0,-361
293,0,-360
206,0,-359
162,0,-358
420,0,-357
340,0,-356
300,0,-355
159,0,-354
291,0,-353
297,0,-352
276,0,-351
392,0,-350
305,0,-349
435,0,-348
157,0,-347
398,0,-346
377,0,-345
271,0,-344
340,0,-343
383,0,-342
186,0,-341
197,0,-340
206,0,-339
203,0,-338
134,0,-337
227,0,-336
194,0,-335
213,0,-334
253,0,-333
286,0,-332
338,0,-331
476,0,-330
185,0,-329
205,0,-328
491,0,-327
221,0,-326
372,0,-325
214,0,-324
437,0,-323
268,0,-322
222,0,-321
423,0,-320
255,0,-319
266,0,-318
331,0,-317
417,0,-316
243,0,-315
183,0,-314
239,0,-313
296,0,-312
274,0,-311
289,0,-310
301,0,-309
219,0,-308
343,0,-307
465,0,-306
215,0,-305
178,0,-304
198,0,-303
198,0,-302
378,0,-301
248,0,-300
217,0,-299
500,0,-298
381,0,-297
338,0,-296
225,0,-295
182,0,-294
412,0,-293
255,0,-292
377,0,-291
276,0,-290
227,0,-289
193,0,-288
344,0,-287
487,0,-286
375,0,-285
423,0,-284
279,0,-283
299,0,-282
231,0,-281
184,0,-280
274,0,-279
216,0,-278
223,0,-277
188,0,-276
225,0,-275
193,0,-274
301,0,-273
357,0,-272
190,0,-271
368,0,-270
236,0,-269
479,0,-268
292,0,-267
228,0,-266
190,0,-265
215,0,-264
205,0,-263
149,0,-262
318,0,-261
330,0,-260
293,0,-259
180,0,-258
212,0,-257
397,0,-256
436,0,-255
316,0,-254
259,0,-253
541,0,-252
341,0,-251
243,0,-250
264,0,-249
471,0,-248
266,0,-247
262,0,-246
332,0,-245
292,0,-244
404,0,-243
342,0,-242
455,0,-241
289,0,-240
323,0,-239
477,0,-238
414,0,-237
380,0,-236
380,0,-235
313,0,-234
302,0,-233
435,0,-232
444,0,-231
328,0,-230
407,0,-229
318,0,-228
257,0,-227
412,0,-226
242,0,-225
280,0,-224
251,0,-223
273,0,-222
389,0,-221
369,0,-220
288,0,-219
310,0,-218
504,0,-217
307,0,-216
374,0,-215
463,0,-214
572,0,-213
726,0,-212
481,0,-211
345,0,-210
415,0,-209
532,0,-208
357,0,-207
484,0,-206
288,0,-205
377,0,-204
242,0,-203
333,0,-202
367,0,-201
278,0,-200
269,0,-199
255,0,-198
222,0,-197
468,0,-196
247,0,-195
252,0,-194
324,0,-193
335,0,-192
187,0,-191
301,0,-190
358,0,-189
320,0,-188
448,0,-187
252,0,-186
291,0,-185
304,0,-184
386,0,-183
483,0,-182
646,0,-181
400,0,-180
509,0,-179
309,0,-178
413,0,-177
464,0,-176
493,0,-175
446,0,-174
554,0,-173
561,0,-172
335,0,-171
371,0,-170
299,0,-169
478,0,-168
539,0,-167
342,0,-166
436,0,-165
376,0,-164
311,0,-163
220,0,-162
276,0,-161
367,0,-160
210,0,-159
237,0,-158
159,0,-157
184,0,-156
175,0,-155
203,0,-154
273,0,-153
255,0,-152
282,0,-151
270,0,-150
248,0,-149
251,0,-148
226,0,-147
337,0,-146
321,0,-145
252,0,-144
442,0,-143
423,0,-142
156,0,-141
275,0,-140
390,0,-139
446,0,-138
229,0,-137
376,0,-136
270,0,-135
439,0,-134
266,0,-133
266,0,-132
220,0,-131
414,0,-130
482,0,-129
228,0,-128
310,0,-127
270,0,-126
271,0,-125
193,0,-124
255,0,-123
202,0,-122
176,0,-121
247,0,-120
320,0,-119
273,0,-118
240,0,-117
428,0,-116
228,0,-115
348,0,-114
236,0,-113
314,0,-112
352,0,-111
282,0,-110
365,0,-109
189,0,-108
405,0,-107
316,0,-106
359,0,-105
311,0,-104
193,0,-103
254,0,-102
323,0,-101
413,0,-100
249,0,-99
197,0,-98
197,0,-97
168,0,-96
233,0,-95
298,0,-94
305,0,-93
294,0,-92
581,0,-91
321,0,-90
433,0,-89
246,0,-88
296,0,-87
197,0,-86
257,0,-85
232,0,-84
344,0,-83
279,0,-82
314,0,-81
391,0,-80
320,0,-79
212,0,-78
164,0,-77
171,0,-76
279,0,-75
220,0,-74
229,0,-73
264,0,-72
242,0,-71
191,0,-70
257,0,-69
128,0,-68
249,0,-67
177,0,-66
186,0,-65
260,0,-64
255,0,-63
233,0,-62
306,0,-61
172,0,-60
247,0,-59
288,0,-58
350,0,-57
347,0,-56
347,0,-55
328,0,-54
412,0,-53
210,0,-52
408,0,-51
317,0,-50
348,0,-49
406,0,-48
257,0,-47
163,0,-46
381,0,-45
335,0,-44
300,0,-43
232,0,-42
360,0,-41
335,0,-40
253,0,-39
303,0,-38
301,0,-37
228,0,-36
299,0,-35
253,0,-34
331,0,-33
230,0,-32
250,0,-31
296,0,-30
193,0,-29
277,0,-28
392,0,-27
385,0,-26
268,0,-25
378,0,-24
386,0,-23
309,0,-22
259,0,-21
205,0,-20
233,0,-19
231,0,-18
202,0,-17
186,0,-16
284,0,-15
253,0,-14
214,0,-13
202,0,-12
378,0,-11
402,0,-10
406,0,-9
297,0,-8
288,0,-7
313,0,-6
280,0,-5
236,0,-4
258,0,-3
271,0,-2
277,0,-1
96,1,1
119,1,2
57,1,3
68,1,4
65,1,5
141,1,6
39,1,7
117,1,8
83,1,9
120,1,10
83,1,11
113,1,12
65,1,13
69,1,14
21,1,15
68,1,16
37,1,17
78,1,18
104,1,19
88,1,20
140,1,21
46,1,22
93,1,23
106,1,24
47,1,25
108,1,26
81,1,27
140,1,28
123,1,29
78,1,30
63,1,31
112,1,32
140,1,33
135,1,34
205,1,35
168,1,36
139,1,37
146,1,38
42,1,39
137,1,40
160,1,41
72,1,42
80,1,43
137,1,44
107,1,45
75,1,46
89,1,47
64,1,48
63,1,49
97,1,50
33,1,51
118,1,52
66,1,53
80,1,54
66,1,55
94,1,56
92,1,57
79,1,58
75,1,59
55,1,60
43,1,61
73,1,62
69,1,63
63,1,64
179,1,65
85,1,66
147,1,67
248,1,68
119,1,69
162,1,70
164,1,71
109,1,72
90,1,73
81,1,74
222,1,75
100,1,76
129,1,77
117,1,78
168,1,79
149,1,80
134,1,81
126,1,82
136,1,83
205,1,84
138,1,85
135,1,86
145,1,87
134,1,88
151,1,89
122,1,90
98,1,91
119,1,92
155,1,93
164,1,94
154,1,95
138,1,96
92,1,97
233,1,98
87,1,99
119,1,100
145,1,101
208,1,102
208,1,103
168,1,104
150,1,105
177,1,106
84,1,107
114,1,108
65,1,109
93,1,110
70,1,111
150,1,112
62,1,113
92,1,114
108,1,115
134,1,116
94,1,117
136,1,118
182,1,119
189,1,120
140,1,121
128,1,122
111,1,123
123,1,124
94,1,125
166,1,126
73,1,127
91,1,128
138,1,129
121,1,130
203,1,131
100,1,132
130,1,133
82,1,134
86,1,135
95,1,136
107,1,137
112,1,138
159,1,139
222,1,140
189,1,141
127,1,142
196,1,143
89,1,144
137,1,145
211,1,146
178,1,147
179,1,148
290,1,149
272,1,150
197,1,151
211,1,152
195,1,153
199,1,154
198,1,155
104,1,156
78,1,157
160,1,158
124,1,159
145,1,160
131,1,161
161,1,162
164,1,163
340,1,164
304,1,165
268,1,166
122,1,167
129,1,168
156,1,169
194,1,170
209,1,171
176,1,172
223,1,173
252,1,174
147,1,175
188,1,176
120,1,177
98,1,178
142,1,179
147,1,180
129,1,181
180,1,182
176,1,183
246,1,184
117,1,185
177,1,186
266,1,187
137,1,188
181,1,189
139,1,190
91,1,191
140,1,192
78,1,193
81,1,194
118,1,195
148,1,196
181,1,197
172,1,198
186,1,199
208,1,200
130,1,201
100,1,202
66,1,203
83,1,204
94,1,205
122,1,206
105,1,207
113,1,208
134,1,209
79,1,210
120,1,211
77,1,212
113,1,213
87,1,214
147,1,215
79,1,216
106,1,217
128,1,218
98,1,219
74,1,220
86,1,221
186,1,222
101,1,223
50,1,224
161,1,225
97,1,226
168,1,227
212,1,228
441,1,229
104,1,230
76,1,231
190,1,232
248,1,233
186,1,234
88,1,235
115,1,236
175,1,237
114,1,238
145,1,239
127,1,240
177,1,241
115,1,242
142,1,243
281,1,244
142,1,245
110,1,246
180,1,247
90,1,248
164,1,249
179,1,250
157,1,251
133,1,252
116,1,253
270,1,254
74,1,255
85,1,256
83,1,257
103,1,258
69,1,259
42,1,260
39,1,261
42,1,262
114,1,263
134,1,264
225,1,265
171,1,266
125,1,267
157,1,268
108,1,269
44,1,270
82,1,271
93,1,272
50,1,273
120,1,274
58,1,275
98,1,276
62,1,277
116,1,278
82,1,279
228,1,280
32,1,281
141,1,282
53,1,283
44,1,284
70,1,285
39,1,286
59,1,287
39,1,288
30,1,289
60,1,290
36,1,291
99,1,292
67,1,293
51,1,294
92,1,295
140,1,296
104,1,297
65,1,298
123,1,299
128,1,300
91,1,301
48,1,302
68,1,303
66,1,304
95,1,305
75,1,306
146,1,307
68,1,308
44,1,309
37,1,310
50,1,311
71,1,312
82,1,313
33,1,314
39,1,315
63,1,316
132,1,317
77,1,318
57,1,319
63,1,320
63,1,321
83,1,322
60,1,323
65,1,324
66,1,325
46,1,326
78,1,327
89,1,328
59,1,329
28,1,330
57,1,331
81,1,332
59,1,333
34,1,334
53,1,335
26,1,336
36,1,337
111,1,338
44,1,339
41,1,340
85,1,341
146,1,342
39,1,343
34,1,344
70,1,345
32,1,346
42,1,347
53,1,348
75,1,349
50,1,350
46,1,351
72,1,352
62,1,353
77,1,354
65,1,355
67,1,356
81,1,357
