"l4_pcode","date_start","ch_pcfl","ch_sviol","ch_cviol","st_crctrl","st_tactrl","st_confront","st_destroy","al_nviol","al_viol","time","l1_pcode","l1_ar","l1_en","l2_pcode","l2_ar","l2_en","l3_pcode","l3_ar","l3_en","l4_ar","l4_en","p1","p2","p3"
"C1001",2011-02-02,1,0,0,1,0,0,0,0,0,1,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-02-04,1,0,0,0,0,0,0,0,0,3,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-02-17,1,0,0,1,0,0,0,1,0,16,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-02-22,1,0,0,1,0,0,0,0,0,21,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-03-15,1,0,0,0,0,0,0,0,1,42,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-03-16,1,0,0,1,0,0,0,1,0,43,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-03-18,1,0,0,1,0,0,0,0,0,45,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2012-03-27,0,0,1,0,0,1,0,0,0,420,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-12-13,0,0,0,0,0,0,0,1,0,315,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-11-14,0,0,0,0,0,0,0,1,0,286,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-03-29,0,0,0,0,0,0,0,1,0,56,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-11-09,1,0,0,0,1,0,0,0,0,281,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-07-21,0,0,0,0,1,0,0,1,0,170,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-01-27,0,1,0,0,0,0,0,0,0,360,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2012-01-03,0,0,0,0,0,0,0,1,0,336,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-07-28,0,0,0,0,0,0,0,1,0,177,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-06-16,0,0,0,0,1,0,0,0,0,501,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2012-05-26,0,1,0,0,0,0,0,0,0,480,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-07-22,1,0,0,0,1,0,0,1,0,171,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-02-14,0,0,0,0,0,0,0,1,0,378,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2012-01-06,1,1,0,0,1,0,0,0,1,339,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-04-24,0,1,0,0,0,0,0,0,0,448,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-12-21,0,0,0,0,0,0,0,1,0,323,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-11-27,0,0,0,0,0,0,0,1,0,299,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-07-06,1,0,0,0,0,0,0,0,0,155,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-02-15,0,0,0,0,0,0,0,1,0,379,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-03-25,1,0,0,1,0,0,0,1,1,52,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",1,0,0
"C1001",2011-06-06,0,0,0,0,0,0,0,1,0,125,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-04-24,0,0,0,0,0,0,0,1,0,82,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-12-16,0,0,0,0,0,0,0,1,0,318,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-04-27,1,1,1,0,1,0,0,0,0,451,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-06-10,1,0,0,0,1,0,0,0,0,129,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2011-05-20,1,0,0,0,1,0,0,0,0,108,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
"C1001",2012-07-07,0,0,1,0,1,1,0,0,0,522,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,0,1
"C1001",2011-07-23,1,0,0,1,0,0,0,0,0,172,"SY01","مدينة دمشق","Damascus","SY0100","مدينة دمشق","Damascus","SY010000","مدينة دمشق","Damascus","دمشق","Damascus",0,1,0
