age,educ,gender,rural,income,income_ln,gorman_secisl,voteisl,pious_off,cleric_inf,relig,sec_index,dem_index
57,2,0,0,300,5.7037826,5,1,3,2,2,1.8571428,3
41,2,0,0,350,5.857933,3,0,3,1,2,3.4285715,3.3333333
40,2,1,0,300,5.7037826,2,,1,2,2,2.5714285,3.3333333
28,2,1,0,500,6.2146082,3,1,3,2,1,3.8571429,2.3333333
74,1,1,0,130,4.8675346,3,0,1,1,1,4,2
57,2,0,0,170,5.1357985,1,0,2,3,1,4.2857141,2.3333333
40,4,1,0,400,5.9914646,3,0,2,2,2,5,3
75,1,1,0,9999998,,,0,,,,1.8571428,3.3333333
31,3,0,0,9999998,,5,0,4,4,3,1.1428572,3
54,1,0,0,350,5.857933,3,0,2,2,3,2,2.3333333
30,4,0,0,500,6.2146082,3,0,2,2,2,2.1428571,2.3333333
58,2,1,0,9999998,,3,0,2,2,3,3.1428571,2.6666667
31,6,0,0,20000,9.9034872,3,0,2,1,2,2.7142856,2.6666667
30,6,0,0,500,6.2146082,3,0,,2,2,1.8571428,3.3333333
60,4,0,0,500,6.2146082,3,0,2,4,3,2,2.3333333
50,3,0,0,9999996,,3,0,2,3,3,1.8571428,3
34,4,1,0,9995,9.2098398,,0,2,2,2,2,2.3333333
48,4,1,0,700,6.5510802,3,0,2,2,2,3.1428571,2.3333333
51,2,1,0,9999997,,3,,2,2,3,3.1428571,2
24,6,1,0,800,6.6846118,3,0,1,4,2,2.1428571,3
27,5,0,0,1200,7.0900769,2,0,2,2,2,,2.3333333
70,5,0,0,3000,8.0063677,3,0,2,2,3,2.2857144,1.6666666
73,1,1,0,300,5.7037826,3,1,3,2,3,1.8571428,2.6666667
23,4,0,0,1000,6.9077554,3,1,3,3,1,2.7142856,1.6666666
55,2,1,0,9999996,,3,0,3,4,2,2.7142856,3.3333333
20,5,1,0,2000,7.6009026,2,0,1,2,1,2.8571429,3.6666667
58,4,0,0,9999998,,5,1,2,2,2,1.5714285,3
33,2,1,0,500,6.2146082,5,,2,2,1,3.2857144,2.3333333
60,4,1,0,9999997,,3,1,1,1,2,2.2857144,2.6666667
43,4,0,0,200,5.2983174,2,0,2,2,2,,2.3333333
18,3,1,0,700,6.5510802,5,1,3,4,3,1.7142857,2.6666667
24,5,0,0,900,6.8023949,2,0,2,2,2,3.4285715,2.6666667
19,3,1,0,800,6.6846118,3,0,2,2,1,3,1.6666666
57,1,1,0,190,5.2470241,2,0,2,2,2,3.4285715,2
42,4,1,0,170,5.1357985,2,,3,2,2,3.4285715,2.6666667
31,3,1,0,500,6.2146082,3,0,,,1,3.7142856,2.3333333
28,6,0,0,700,6.5510802,3,0,2,2,2,3.1428571,3
71,1,0,0,900,6.8023949,2,0,3,2,3,2.4285715,3.3333333
20,4,0,0,1100,7.0030656,3,1,2,2,1,4,3
69,1,0,0,600,6.3969297,,0,,2,3,1.5714285,2.3333333
51,6,0,0,3500,8.1605186,3,0,2,2,2,3.1428571,2.3333333
49,1,0,0,300,5.7037826,5,1,1,1,2,2.5714285,4
29,3,0,0,800,6.6846118,4,1,3,3,3,1.4285715,2
66,6,0,0,9999996,,2,0,1,1,1,3.5714285,2.6666667
58,6,0,0,1200,7.0900769,2,1,2,1,1,4.4285712,2.3333333
24,5,1,0,1000,6.9077554,3,0,2,2,2,3,2.3333333
36,5,1,0,9999997,,2,0,1,2,1,3.7142856,3
42,6,1,0,3000,8.0063677,,0,1,1,1,4.4285712,3
42,4,1,0,1000,6.9077554,3,0,1,3,1,3.1428571,2.3333333
50,6,1,0,1000,6.9077554,,0,1,1,3,2.4285715,3
45,3,0,0,9999996,,2,0,2,3,1,3.8571429,2.6666667
29,6,1,0,900,6.8023949,3,0,2,2,2,3.4285715,3
56,5,1,0,1000,6.9077554,3,0,1,1,,2.4285715,1.3333334
70,1,1,0,170,5.1357985,2,0,1,1,2,2.7142856,3.3333333
78,1,1,0,9999998,,,0,,,3,2.7142856,2.3333333
19,3,0,0,600,6.3969297,2,1,2,3,1,4,1.6666666
58,2,0,0,130,4.8675346,5,1,3,2,,1.5714285,1.3333334
18,3,0,0,700,6.5510802,2,1,1,1,2,3,2.3333333
34,4,0,0,800,6.6846118,3,0,2,2,2,2,3
31,5,1,0,1000,6.9077554,2,0,2,3,2,1.8571428,2
49,2,0,0,500,6.2146082,2,,2,2,2,2,2
23,5,0,0,580,6.363028,3,1,1,1,1,2.8571429,2.6666667
80,1,0,0,400,5.9914646,3,,3,3,2,1,2.3333333
22,5,0,0,450,6.1092477,3,0,1,1,2,3.1428571,2.6666667
43,4,0,0,500,6.2146082,3,0,2,2,1,3.2857144,3.3333333
57,3,1,0,300,5.7037826,3,0,3,3,2,3,2.3333333
45,4,1,0,1200,7.0900769,3,,2,3,1,2.4285715,2.3333333
45,6,1,0,9999996,,3,0,3,3,3,3,4
50,4,1,0,400,5.9914646,3,0,1,2,2,3,2.6666667
68,1,1,0,400,5.9914646,2,0,2,2,,3.8571429,3
18,3,0,0,2000,7.6009026,3,,2,2,2,2.2857144,2.3333333
28,5,0,0,9999998,,3,0,1,2,2,2,3.6666667
57,6,0,0,1500,7.3132205,3,1,4,2,3,1.7142857,3.3333333
48,4,0,0,9999996,,,0,3,2,3,2.4285715,3
55,5,0,0,800,6.6846118,3,0,1,,3,2,2.6666667
35,5,1,0,1300,7.1701198,3,0,2,2,2,3.2857144,2.3333333
45,3,1,0,650,6.4769726,,0,2,2,3,2.7142856,3.6666667
49,1,1,0,700,6.5510802,3,0,3,3,3,1.7142857,2
53,6,1,0,2500,7.8240461,3,1,3,3,3,2.2857144,1.3333334
20,4,1,0,1000,6.9077554,3,0,1,1,2,3.8571429,3
21,5,0,0,900,6.8023949,3,0,2,2,1,3.7142856,3.6666667
22,5,1,0,1500,7.3132205,5,1,4,4,3,1.4285715,2.3333333
18,4,0,0,9999998,,3,1,3,3,2,2.7142856,2.3333333
52,4,0,0,10000,9.2103405,3,0,2,3,3,1.8571428,3.3333333
48,4,0,0,600,6.3969297,3,1,2,2,2,1.8571428,3
30,3,0,0,250,5.521461,3,0,3,2,2,1.7142857,3
23,5,1,0,1000,6.9077554,3,0,1,1,2,2.7142856,3
30,3,1,0,500,6.2146082,2,,2,2,1,3.8571429,3
32,5,1,0,1600,7.377759,2,0,3,3,1,2.8571429,1.6666666
24,5,1,0,1400,7.2442274,3,0,2,2,2,2.8571429,3.6666667
21,4,0,0,500,6.2146082,2,0,2,1,2,3.1428571,3.6666667
60,2,1,0,300,5.7037826,1,0,2,2,2,4,3
31,4,0,0,1000,6.9077554,5,1,4,4,3,1.5714285,2.6666667
28,5,1,0,600,6.3969297,2,,2,2,2,2.5714285,3.3333333
71,1,1,0,400,5.9914646,3,0,,,2,3.4285715,2
24,4,1,0,500,6.2146082,3,,2,2,2,3.4285715,2
20,3,0,0,500,6.2146082,5,0,3,3,2,2.4285715,3.3333333
19,3,0,0,300,5.7037826,5,1,3,3,2,1.7142857,3.3333333
37,4,1,0,600,6.3969297,3,1,1,1,2,3.2857144,2.6666667
19,4,0,0,1500,7.3132205,5,0,2,3,1,2.8571429,3.6666667
19,3,0,0,9999994,,3,0,2,2,2,2.8571429,3
32,1,0,0,200,5.2983174,3,,3,2,2,2.5714285,3
30,3,1,0,300,5.7037826,5,,3,2,3,2.5714285,1.6666666
32,1,0,0,170,5.1357985,5,,3,2,1,3.2857144,3
27,2,0,0,300,5.7037826,3,1,1,1,1,3.1428571,1
52,3,0,0,1260,7.1388669,1,1,2,2,2,1.8571428,1.6666666
19,3,1,0,800,6.6846118,2,,2,3,2,2.2857144,2.3333333
51,1,1,0,480,6.1737862,,,4,1,1,3,1.6666666
30,2,1,0,380,5.9401712,3,,2,3,1,3.1428571,3
33,2,1,0,170,5.1357985,5,1,3,3,3,2,2.3333333
19,3,0,0,9999996,,3,0,3,3,2,1.8571428,2.3333333
23,5,0,0,9999997,,,0,2,2,1,3.4285715,3
64,4,0,0,9999996,,5,1,3,4,,2.2857144,2.3333333
21,3,1,0,400,5.9914646,3,1,4,2,3,2.2857144,3
27,6,1,0,2000,7.6009026,,0,2,2,2,2.7142856,3
29,5,1,0,9999996,,2,0,3,3,2,2.2857144,3.3333333
70,2,1,0,700,6.5510802,,0,2,2,2,2.7142856,1.6666666
22,4,0,0,9999997,,,0,2,2,1,4.2857141,3
60,4,0,0,1500,7.3132205,5,1,3,2,3,1.7142857,3
30,4,1,0,400,5.9914646,2,0,1,1,2,3.8571429,3.3333333
23,5,0,0,1000,6.9077554,3,0,2,2,1,3.8571429,3.3333333
18,3,0,0,700,6.5510802,3,,2,2,1,3.5714285,3.3333333
22,5,0,0,500,6.2146082,,0,2,1,1,4.1428571,3
51,2,0,0,800,6.6846118,2,0,2,2,3,2.4285715,3
47,6,1,0,1200,7.0900769,3,0,2,2,2,3,3.6666667
18,4,0,0,800,6.6846118,2,1,2,2,1,3.4285715,3
28,3,1,0,850,6.7452364,1,0,1,2,1,4.1428571,2.3333333
27,4,1,0,700,6.5510802,2,0,1,1,1,3.8571429,2.3333333
20,5,1,0,500,6.2146082,3,0,2,3,1,3.8571429,3
35,,1,0,500,6.2146082,5,1,3,3,3,2,2.3333333
37,1,1,0,350,5.857933,3,0,1,1,1,3.1428571,1.6666666
20,5,1,0,280,5.6347895,3,0,1,1,3,3.1428571,2.3333333
42,3,1,0,350,5.857933,2,0,2,2,2,2,2.3333333
37,6,1,0,9999996,,3,0,2,2,3,1.8571428,1.3333334
36,6,1,0,800,6.6846118,3,1,3,3,2,2.2857144,3
21,3,0,0,800,6.6846118,2,0,1,1,1,4,3
41,6,0,0,4500,8.4118328,3,,1,1,1,4.2857141,1.6666666
56,2,0,0,400,5.9914646,5,1,4,4,3,1.2857143,3.3333333
42,2,0,0,9999996,,3,0,3,3,1,1.5714285,3
46,1,0,0,300,5.7037826,,0,2,3,1,2.4285715,3
70,3,0,0,970,6.877296,2,0,2,1,1,2,3
65,4,0,0,2500,7.8240461,3,0,2,2,2,2.7142856,2.3333333
23,3,0,0,9999998,,,0,2,2,1,3.8571429,1.3333334
19,5,0,0,9999996,,,0,3,2,2,2.2857144,3.3333333
21,3,0,0,250,5.521461,3,1,2,2,2,2.1428571,3
36,3,1,0,600,6.3969297,5,0,1,1,2,3.5714285,3
54,4,1,0,1500,7.3132205,2,0,2,2,1,3.4285715,3.3333333
58,1,1,0,9999996,,,0,2,2,1,2.5714285,2
23,4,1,0,9999998,,3,0,2,2,2,3,2
46,4,1,0,980,6.8875527,3,0,2,2,1,2.5714285,2.3333333
55,1,0,0,300,5.7037826,,0,3,2,1,2,2.6666667
23,4,0,0,1500,7.3132205,3,0,2,2,2,3.7142856,2.3333333
23,6,1,0,9999996,,,0,2,2,2,2.1428571,3
29,1,1,0,500,6.2146082,,0,3,,3,3,2.6666667
47,3,1,0,400,5.9914646,1,0,2,2,2,2.5714285,1.6666666
50,2,0,0,600,6.3969297,3,0,2,2,1,1.7142857,2
21,4,0,0,1300,7.1701198,,0,1,1,1,5,2.3333333
50,3,1,0,150,5.0106354,5,0,4,4,2,1.4285715,2.3333333
24,5,1,0,400,5.9914646,3,0,2,2,1,4.2857141,3
69,2,0,0,9999996,,3,1,3,3,2,2,3
36,2,0,0,900,6.8023949,3,1,2,2,2,2.1428571,2.6666667
38,3,0,0,700,6.5510802,3,1,2,2,2,2,3
19,4,1,0,250,5.521461,3,0,2,2,,3.7142856,2.6666667
50,5,0,0,9999996,,5,0,4,4,3,1,3
45,2,1,0,300,5.7037826,5,0,4,4,3,1.7142857,2
19,4,0,0,800,6.6846118,1,0,1,1,1,3.4285715,3
52,3,1,0,600,6.3969297,3,0,2,2,2,2.2857144,3
19,4,1,0,300,5.7037826,3,0,1,1,2,2.8571429,3.6666667
60,2,1,0,400,5.9914646,3,,2,1,,,3
42,3,0,0,200,5.2983174,3,1,2,2,2,2.7142856,3
21,1,1,1,400,5.9914646,5,0,3,2,2,3.2857144,2.3333333
