"","pre_post","post_arrest","actor_type","hits","arrest_length_factor","followers_factor","time","gtrends_online"
"1",-30,"0","lawyers",0,NA,NA,NA,NA
"2",-29,"0","lawyers",0,NA,NA,NA,NA
"3",-28,"0","lawyers",12,NA,NA,NA,NA
"4",-27,"0","lawyers",12,NA,NA,NA,NA
"5",-26,"0","lawyers",12,NA,NA,NA,NA
"6",-25,"0","lawyers",0,NA,NA,NA,NA
"7",-24,"0","lawyers",16,NA,NA,NA,NA
"8",-23,"0","lawyers",18,NA,NA,NA,NA
"9",-22,"0","lawyers",16,NA,NA,NA,NA
"10",-21,"0","lawyers",0,NA,NA,NA,NA
"11",-20,"0","lawyers",14,NA,NA,NA,NA
"12",-19,"0","lawyers",0,NA,NA,NA,NA
"13",-18,"0","lawyers",40,NA,NA,NA,NA
"14",-17,"0","lawyers",40,NA,NA,NA,NA
"15",-16,"0","lawyers",0,NA,NA,NA,NA
"16",-15,"0","lawyers",0,NA,NA,NA,NA
"17",-14,"0","lawyers",12,NA,NA,NA,NA
"18",-13,"0","lawyers",0,NA,NA,NA,NA
"19",-12,"0","lawyers",0,NA,NA,NA,NA
"20",-11,"0","lawyers",12,NA,NA,NA,NA
"21",-10,"0","lawyers",164,NA,NA,NA,NA
"22",-9,"0","lawyers",200,NA,NA,NA,NA
"23",-8,"0","lawyers",106,NA,NA,NA,NA
"24",-7,"0","lawyers",24,NA,NA,NA,NA
"25",-6,"0","lawyers",24,NA,NA,NA,NA
"26",-5,"0","lawyers",60,NA,NA,NA,NA
"27",-4,"0","lawyers",24,NA,NA,NA,NA
"28",-3,"0","lawyers",26,NA,NA,NA,NA
"29",-2,"0","lawyers",24,NA,NA,NA,NA
"30",-1,"0","lawyers",22,NA,NA,NA,NA
"31",0,"1","lawyers",12,NA,NA,NA,NA
"32",1,"1","lawyers",24,NA,NA,NA,NA
"33",2,"1","lawyers",36,NA,NA,NA,NA
"34",3,"1","lawyers",12,NA,NA,NA,NA
"35",4,"1","lawyers",26,NA,NA,NA,NA
"36",5,"1","lawyers",12,NA,NA,NA,NA
"37",6,"1","lawyers",0,NA,NA,NA,NA
"38",7,"1","lawyers",34,NA,NA,NA,NA
"39",8,"1","lawyers",12,NA,NA,NA,NA
"40",9,"1","lawyers",12,NA,NA,NA,NA
"41",10,"1","lawyers",12,NA,NA,NA,NA
"42",11,"1","lawyers",0,NA,NA,NA,NA
"43",12,"1","lawyers",12,NA,NA,NA,NA
"44",13,"1","lawyers",12,NA,NA,NA,NA
"45",14,"1","lawyers",12,NA,NA,NA,NA
"46",15,"1","lawyers",12,NA,NA,NA,NA
"47",16,"1","lawyers",0,NA,NA,NA,NA
"48",17,"1","lawyers",12,NA,NA,NA,NA
"49",18,"1","lawyers",12,NA,NA,NA,NA
"50",19,"1","lawyers",0,NA,NA,NA,NA
"51",20,"1","lawyers",0,NA,NA,NA,NA
"52",21,"1","lawyers",12,NA,NA,NA,NA
"53",22,"1","lawyers",0,NA,NA,NA,NA
"54",23,"1","lawyers",12,NA,NA,NA,NA
"55",24,"1","lawyers",12,NA,NA,NA,NA
"56",25,"1","lawyers",0,NA,NA,NA,NA
"57",26,"1","lawyers",0,NA,NA,NA,NA
"58",27,"1","lawyers",12,NA,NA,NA,NA
"59",28,"1","lawyers",0,NA,NA,NA,NA
"60",29,"1","lawyers",0,NA,NA,NA,NA
"61",30,"1","lawyers",0,NA,NA,NA,NA
"62",-30,"0","liberals",25,NA,NA,NA,NA
"63",-29,"0","liberals",50,NA,NA,NA,NA
"64",-28,"0","liberals",23,NA,NA,NA,NA
"65",-27,"0","liberals",75,NA,NA,NA,NA
"66",-26,"0","liberals",0,NA,NA,NA,NA
"67",-25,"0","liberals",0,NA,NA,NA,NA
"68",-24,"0","liberals",25,NA,NA,NA,NA
"69",-23,"0","liberals",0,NA,NA,NA,NA
"70",-22,"0","liberals",25,NA,NA,NA,NA
"71",-21,"0","liberals",47,NA,NA,NA,NA
"72",-20,"0","liberals",0,NA,NA,NA,NA
"73",-19,"0","liberals",0,NA,NA,NA,NA
"74",-18,"0","liberals",22,NA,NA,NA,NA
"75",-17,"0","liberals",0,NA,NA,NA,NA
"76",-16,"0","liberals",24,NA,NA,NA,NA
"77",-15,"0","liberals",25,NA,NA,NA,NA
"78",-14,"0","liberals",0,NA,NA,NA,NA
"79",-13,"0","liberals",24,NA,NA,NA,NA
"80",-12,"0","liberals",25,NA,NA,NA,NA
"81",-11,"0","liberals",47,NA,NA,NA,NA
"82",-10,"0","liberals",25,NA,NA,NA,NA
"83",-9,"0","liberals",100,NA,NA,NA,NA
"84",-8,"0","liberals",0,NA,NA,NA,NA
"85",-7,"0","liberals",0,NA,NA,NA,NA
"86",-6,"0","liberals",24,NA,NA,NA,NA
"87",-5,"0","liberals",24,NA,NA,NA,NA
"88",-4,"0","liberals",0,NA,NA,NA,NA
"89",-3,"0","liberals",49,NA,NA,NA,NA
"90",-2,"0","liberals",26,NA,NA,NA,NA
"91",-1,"0","liberals",157,NA,NA,NA,NA
"92",0,"1","liberals",216,NA,NA,NA,NA
"93",1,"1","liberals",137,NA,NA,NA,NA
"94",2,"1","liberals",101,NA,NA,NA,NA
"95",3,"1","liberals",123,NA,NA,NA,NA
"96",4,"1","liberals",74,NA,NA,NA,NA
"97",5,"1","liberals",66,NA,NA,NA,NA
"98",6,"1","liberals",132,NA,NA,NA,NA
"99",7,"1","liberals",184,NA,NA,NA,NA
"100",8,"1","liberals",15,NA,NA,NA,NA
"101",9,"1","liberals",101,NA,NA,NA,NA
"102",10,"1","liberals",72,NA,NA,NA,NA
"103",11,"1","liberals",53,NA,NA,NA,NA
"104",12,"1","liberals",24,NA,NA,NA,NA
"105",13,"1","liberals",70,NA,NA,NA,NA
"106",14,"1","liberals",49,NA,NA,NA,NA
"107",15,"1","liberals",50,NA,NA,NA,NA
"108",16,"1","liberals",55,NA,NA,NA,NA
"109",17,"1","liberals",48,NA,NA,NA,NA
"110",18,"1","liberals",2,NA,NA,NA,NA
"111",19,"1","liberals",22,NA,NA,NA,NA
"112",20,"1","liberals",22,NA,NA,NA,NA
"113",21,"1","liberals",23,NA,NA,NA,NA
"114",22,"1","liberals",1,NA,NA,NA,NA
"115",23,"1","liberals",2,NA,NA,NA,NA
"116",24,"1","liberals",2,NA,NA,NA,NA
"117",25,"1","liberals",22,NA,NA,NA,NA
"118",26,"1","liberals",22,NA,NA,NA,NA
"119",27,"1","liberals",1,NA,NA,NA,NA
