days_since_arrest,hits,post_arrest
-30,59,0
-29,90,0
-28,52,0
-27,102,0
-26,27,0
-25,23,0
-24,62,0
-23,80,0
-22,70,0
-21,89,0
-20,31,0
-19,13,0
-18,67,0
-17,58,0
-16,49,0
-15,45,0
-14,76,0
-13,71,0
-12,183,0
-11,144,0
-10,228,0
-9,313,0
-8,137,0
-7,150,0
-6,187,0
-5,199,0
-4,72,0
-3,219,0
-2,308,0
-1,460,0
0,793,1
1,766,1
2,522,1
3,574,1
4,438,1
5,373,1
6,357,1
7,397,1
8,255,1
9,215,1
10,211,1
11,171,1
12,110,1
13,212,1
14,194,1
15,118,1
16,107,1
17,111,1
18,78,1
19,97,1
20,67,1
21,71,1
22,51,1
23,65,1
24,75,1
25,110,1
26,84,1
27,92,1
28,75,1
29,57,1
30,109,1
