"","STIAT.test","STIAT.practice","approve_abdel_rev","democracy1","democracy2","democracy3","democracy4","democracy5","edu","frisun_services","gender","income","list_1a","list_1b","list_2a","list_2b","list2a.clean","list2b.clean","religion","direct.support","implicit.support","rel_christian","rel_muslim","work_govemp","location","region","islamist","liberal"
"1",-0.039524005,-0.012400186,2,1,3,1,4,3,5,3,1,3,0,0,0,1,NA,1,1,0,0,0,1,0,"benisuef","upper",0,1
"2",-0.163435268,-0.254930086,3,3,2,4,3,3,5,3,1,3,0,0,0,0,NA,NA,1,1,0,0,1,0,"cairo","cairo",0,0
"3",-0.340685276,-0.437736171,2,2,3,2,2,3,5,1,1,1,0,0,0,0,NA,NA,1,0,0,0,1,0,"alexandria","alex",0,0
"4",0.138589071,0.412118863,NA,1,3,2,3,3,4,1,1,2,0,1,0,2,NA,2,1,NA,1,0,1,0,"dakahlia","delta",0,0
"5",-0.181702211,0.702843413,3,2,NA,2,4,3,5,1,1,1,0,0,0,0,NA,NA,1,1,0,0,1,0,"dakahlia","delta",0,1
"6",-1.188495743,-0.66085247,3,2,4,2,2,3,5,1,1,2,0,NA,0,2,NA,2,1,1,0,0,1,0,"cairo","cairo",0,0
"7",-0.01535586,0.21997089,1,1,3,1,2,3,5,1,1,3,0,0,0,0,NA,NA,1,0,0,0,1,0,"cairo","cairo",0,0
"8",-0.138564426,0.02832893,NA,1,3,2,3,3,5,1,2,2,0,1,0,2,NA,2,1,NA,0,0,1,0,"alexandria","alex",0,0
"9",-0.093737311,0.182724643,3,1,3,2,3,3,5,1,1,2,0,0,0,0,NA,NA,1,1,0,0,1,0,"cairo","cairo",0,0
"10",-0.257903516,-0.169835603,2,2,3,2,2,2,5,4,1,3,0,0,0,0,NA,NA,1,0,0,0,1,0,"ismailia","delta",1,0
"11",-0.036125603,0.638543785,4,1,4,2,4,4,5,1,1,3,0,0,0,3,NA,3,1,1,0,0,1,1,"dakahlia","delta",0,1
"12",0.350279505,0.521306941,2,1,3,1,NA,2,5,1,1,1,0,0,0,2,NA,2,1,0,1,0,1,0,"alexandria","alex",1,0
"13",-0.284977842,-0.668932671,3,2,4,2,3,3,6,1,1,2,0,0,0,1,NA,1,1,1,0,0,1,0,"cairo","cairo",0,0
"14",0.224246283,0.06133144,1,1,3,2,1,2,5,1,1,2,0,0,0,0,NA,0,1,0,1,0,1,0,"asyut","upper",1,0
